"","X","DNP","Plot","Treatment","Trt","Rep","ToLine","ToSoil","Depth","CoreHt","Enotes","Flag","BagSampWt","RockWt","TinWt","WetSampTinWt","TotWetSampWt","Snotes","DryTinWt","TNotes","CNWeight","C","N","S","CN","WoodWt","WoodVol","WoodVolEst","CoreVol","RockVol","EffVol","moisture","BagWtChk","TotDrySamplWt","Bulk.Density","OM","Mineral"
"39",39,39,3,"No Litter","NL","B",7.5,8.4,10,5,"","",111.44,12.62,1.61,12.08,102.57,"",11.28,"",103.661,2.23,0.13,0.2,17.2,0.4,1.2,2,114.453,6.64210526315789,106.610894736842,0.0827300930713548,8.87,81.7127507163324,0.766457789497328,3.86682,96.13318
"40",40,40,3,"No Litter","NL","B",7.5,8.4,7.5,2.48,"","",53.75,8.03,1.62,10.91,45.05,"",10.64,"",90.876,2.622,0.164,0.642,16,0,0,0,56.768688,4.22631578947368,52.5423722105263,0.0299334811529933,8.7,35.7106889128095,0.679655055727674,4.546548,95.453452
"41",41,41,3,"No Litter","NL","B",7.5,8.4,5,2.4,"","",50.78,2.56,1.62,10.44,41.99,"",10.07,"",97.527,3.09,0.16,0.04,19.3,0,0,0,54.93744,1.34736842105263,53.5900715789474,0.0437869822485208,8.79,37.668514739229,0.702900996945616,5.35806,94.64194
"42",42,42,3,"No Litter","NL","B",7.5,8.4,2.5,2.3,"","",46.72,4.76,1.64,10.31,38.04,"",9.93,"",91.715,3.99,0.18,0.043,22.2,0,0,0,52.64838,2.50526315789474,50.1431168421053,0.0458383594692401,8.68,31.6127335640138,0.630450110701307,6.91866,93.08134
"43",43,43,3,"No Litter","NL","B",7.5,8.4,0,2.9,"Mossy top","",57.28,14.1,1.58,8.85,47.91,"",8.63,"",83.225,14.59,0.47,0.078,31,0,0,0,66.38274,7.42105263157895,58.9616873684211,0.0312056737588651,9.37,32.3601788170564,0.548834001558578,25.29906,74.70094
"44",44,44,19,"No Input","NI","B",6.9,7.3,10,5.07,"","",116.56,4.08,1.63,12.76,107.76,"",11.65,"",91.316,2.71,0.17,0.04,15.9,0.25,0.5,2,116.055342,2.14736842105263,113.407973578947,0.110778443113772,8.8,92.6830458221024,0.81725334557347,4.69914,95.30086
"45",45,45,19,"No Input","NI","B",6.9,7.3,7.5,2.35,"","",56.95,0,1.63,11.42,48.28,"",10.97,"",99.565,3.19,0.17,0.038,18.8,0,0,0,53.79291,0,53.79291,0.0481798715203425,8.67,46.0607967313585,0.856261480023269,5.53146,94.46854
"46",46,46,19,"No Input","NI","B",6.9,7.3,5,2.52,"","",37.24,0.6,1.62,9.95,28.68,"",9.71,"",84.61,6.89,0.3,0.093,23,1.39,3.1,5,57.684312,0.315789473684211,54.2685225263158,0.0296662546353521,8.56,25.8636854741897,0.476587241925518,11.94726,88.05274
"47",47,47,19,"No Input","NI","B",6.9,7.3,2.5,2.35,"","",48.42,1.81,1.63,11.53,39.61,"",11.2,"",90.129,5.56,0.27,0.048,20.6,0,0,0,53.79291,0.952631578947368,52.8402784210526,0.0344827586206895,8.81,36.4796666666667,0.690376125121483,9.64104,90.35896
"48",48,48,19,"No Input","NI","B",6.9,7.3,0,2.7,"","",72.43,3.06,1.63,10.93,63.63,"",10.33,"",90.635,6.41,0.25,0.124,25.6,0,0,0,61.80462,1.61052631578947,60.1940936842105,0.0689655172413795,8.8,56.4648387096774,0.938046164560638,11.11494,88.88506
"49",49,49,2,"Double Litter","DL","A",6.8,7.2,10,5.1,"","",125.44,26.25,1.63,11.98,116.64,"",10.84,"",88.885,3.43,0.17,0.062,20.2,0,0,0,116.74206,13.8157894736842,102.926270526316,0.123778501628665,8.8,77.5426956521739,0.753380990641724,5.94762,94.05238
"50",50,50,2,"Double Litter","DL","A",6.8,7.2,7.5,2.2,"","",50.81,6.97,0.96,10.71,42.23,"LOTS OF CHARCOAL IN <2MM",10.45,"",81.823,5,0.2,0.05,25,0,0,0,50.35932,3.66842105263158,46.6908989473684,0.0273972602739728,8.58000000000001,34.1338666666667,0.731060387274692,8.67,91.33
"51",51,51,2,"Double Litter","DL","A",6.8,7.2,5,2.7,"","",54.68,6.35,1.56,10.32,45.91,"",9.97,"",81.125,7.48,0.27,0.099,27.7,0,0,0,61.80462,3.34210526315789,58.4625147368421,0.0416171224732461,8.77,37.725696347032,0.64529718772528,12.97032,87.02968
"52",52,52,2,"Double Litter","DL","A",6.8,7.2,2.5,2.45,"","",36.8,0.79,0.96,10.54,27.93,"",10.16,"",82.671,8.46,0.27,0.093,31.3,1.06,2.1,7,56.08197,0.415789473684211,53.5661805263158,0.0413043478260868,8.87,24.9721294363257,0.466192085957248,14.66964,85.33036
"53",53,53,2,"Double Litter","DL","A",6.8,7.2,0,2.7,"","",43.95,7.54,1.64,11.29,35.17,"",10.16,"",95.432,14.26,0.44,0.08,32.4,0.66,1,2,61.80462,3.96842105263158,56.8361989473684,0.132629107981221,8.78,22.8516476683938,0.402061504668089,24.72684,75.27316
"54",54,54,3,"No Litter","NL","B",7.4,8.4,10,4.88,"","",114.91,8.78,1.62,11.15,105.1,"",10.84,"",98.78,1.35,0.12,0.068,11.3,0,0,0,111.706128,4.62105263157895,107.085075368421,0.0336225596529287,9.81,92.9012172088142,0.867545891798573,2.3409,97.6591
"55",55,55,3,"No Litter","NL","B",7.4,8.4,7.5,2.58,"","",53.18,3.86,1.61,14.08,44.15,"",13.45,"",92.94,2.08,0.13,0.092,16,0.31,0.7,2,59.057748,2.03157894736842,56.3261690526316,0.0532094594594595,9.03,37.7494867682438,0.670194465612785,3.60672,96.39328
"56",56,56,3,"No Litter","NL","B",7.4,8.4,5,2.5,"","",46.06,16.47,1.63,11.36,37.24,"",11.05,"",92.336,2.02,0.17,1.162,11.9,0,0,0,57.2265,8.66842105263158,48.5580789473684,0.032908704883227,8.82,19.5835251798561,0.403301069654804,3.50268,96.49732
"57",57,57,3,"No Litter","NL","B",7.4,8.4,2.5,2.5,"","",40.72,3.99,1.63,10.71,31.69,"",10.28,"",83.498,2.069,0.16,1.03,12.9,0,0,0,57.2265,2.1,55.1265,0.0497109826589599,9.03,26.1992621145374,0.475257128867921,3.587646,96.412354
"58",58,58,3,"No Litter","NL","B",7.4,8.4,0,2.65,"Mossy top","",83.2,6.65,1.64,11.14,74.4,"",10.67,"",98.382,4.32,0.22,0.076,19.6,0,0,0,60.66009,3.5,57.16009,0.0520487264673312,8.8,64.0691578947368,1.12087223611329,7.49088,92.50912
"59",59,59,1,"No Root","NR","B",7.7,6.3,10,5.1,"","",118.93,0,1.64,14.43,109.61,"",14.06,"",81.006,2.226,0.171,1.02,13,0,0,0,116.74206,0,116.74206,0.0297906602254428,9.32000000000001,106.439108678655,0.911746020917013,3.859884,96.140116
"60",60,60,1,"No Root","NR","B",7.7,6.3,7.5,2.2,"","",58.63,0,1.61,11.2,49.52,"",10.99,"",95.245,2.37,0.16,0.039,14.8,0,0,0,50.35932,0,50.35932,0.0223880597014924,9.11,48.4356204379562,0.961800525462937,4.10958,95.89042
"61",61,61,1,"No Root","NR","B",7.7,6.3,5,2.5,"","",60.99,0,0.93,10.69,52.5,"",10.4,"",91.271,3,0.17,0.048,17.6,0,0,0,57.2265,0,57.2265,0.0306230200633579,8.49,50.9400614754098,0.890148121506816,5.202,94.798
"62",62,62,1,"No Root","NR","B",7.7,6.3,2.5,2.6,"","",52.36,1.95,1.58,10.69,43.45,"Big roots",11.14,"",84.414,4.727,0.234,1.215,20.2,0.7,2.1,4.5,59.51556,1.02631578947368,56.3892442105263,-0.0470711297071131,8.91,42.9462678375412,0.761603891642944,8.196618,91.803382
"63",63,63,1,"No Root","NR","B",7.7,6.3,0,2.6,"Larger top piece than measured…?","",98.86,5.14,1.62,10.73,89.69,"",8.58,"",82.668,9.26,0.36,0.059,25.7,0,0,0,59.51556,2.70526315789474,56.8102968421053,0.308908045977011,9.17,63.3827661909989,1.1156915156976,16.05684,83.94316
"64",64,64,1,"No Root","NR","A",7.8,10,10,4.83,"","",95.21,1.54,1.63,12.06,86.38,"",11.52,"",91.088,4.08,0.24,0.078,17,0,0,0,110.561598,0.810526315789474,109.751071684211,0.0546006066734074,8.83,80.3677852348993,0.732273352793707,7.07472,92.92528
"65",65,65,1,"No Root","NR","A",7.8,10,7.5,2.3,"","",46.95,5.05,1.22,10.64,38.13,"",10.3,"",87.268,4.24,0.2,0.058,21.2,0,0,0,52.64838,2.65789473684211,49.9904852631579,0.0374449339207048,8.82,31.7037579617834,0.634195843366789,7.35216,92.64784
"66",66,66,1,"No Root","NR","A",7.8,10,5,2.6,"","",40.52,1.48,1.66,10,30.72,"",9.75,"",86.736,3.77,0.19,0.043,19.8,0,0,0,59.51556,0.778947368421053,58.736612631579,0.030902348578492,9.8,28.3191366906475,0.482137723335821,6.53718,93.46282
"67",67,67,1,"No Root","NR","A",7.8,10,0,5.001,"","",66.11,1.61,1.59,11.51,61.05,"",11.13,"",81.568,7.38,0.27,0.048,27.3,0,0,0,114.4758906,0.847368421052632,113.628522178947,0.0398322851153039,5.06,57.1013911290323,0.5025269187177,12.79692,87.20308
"68",68,68,3,"No Litter","NL","C",7.6,9.2,10,4.65,"Wonky extraction","X",76.98,18.94,1.13,10.3,68.14,"",9.89,"",89.577,3.67,0.14,0.047,26.2,0.89,2.2,4,106.44129,9.96842105263158,94.2728689473684,0.0468036529680365,8.84,45.2633914940022,0.480131685811665,6.36378,93.63622
"69",69,69,3,"No Litter","NL","C",7.6,9.2,7.5,2.55,"Wonky extraction","X",45.09,14.13,0.97,11.01,36.38,"",10.61,"",83.692,2.69,0.11,0.058,24.5,0,0,0,58.37103,7.43684210526316,50.9341878947368,0.04149377593361,8.71,20.8005976095617,0.40838184467669,4.66446,95.33554
"70",70,70,3,"No Litter","NL","C",7.6,9.2,5,2.25,"Wonky extraction","X",36.56,6.17,0.97,11.85,27.76,"",10.49,"",84.895,1.94,0.11,3.227,17.6,0,0,0,51.50385,3.24736842105263,48.2564815789474,0.142857142857143,8.8,18.12,0.375493600177953,3.36396,96.63604
"71",71,71,3,"No Litter","NL","C",7.6,9.2,2.5,2.4,"Wonky extraction","X",44.63,1.85,1.62,11.67,35.9,"",11.34,"",93.371,2.209,0.097,0.983,22.7,0,0,0,54.93744,0.973684210526316,53.9637557894737,0.0339506172839508,8.73,32.8711940298507,0.609134659901909,3.830406,96.169594
