JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
44,CELLULOSE,DW,6,136,198.444,0.46
45,CELLULOSE,DW,6,136,214.406,0.34
61,OXALATE,DW,6,136,229.787,13.981
62,OXALATE,DW,6,136,256.213,15.177
63,OXALATE,DW,6,136,246.737,13.006
70,PHENOL,DW,6,136,227.628,5.465
71,PHENOL,DW,6,136,246.096,5.188
72,PHENOL,DW,6,136,236.808,5.161
79,CELLULOSE,DL,6,136,,
80,CELLULOSE,DL,6,136,167.257,0.36
81,CELLULOSE,DL,6,136,178.236,0.397
97,OXALATE,DL,6,136,193.191,12.651
98,OXALATE,DL,6,136,,
99,OXALATE,DL,6,136,205.324,11.693
106,PHENOL,DL,6,136,206.824,3.516
107,PHENOL,DL,6,136,186.349,3.206
108,PHENOL,DL,6,136,209.056,3.443
115,CELLULOSE,NI,6,136,112.352,0.344
116,CELLULOSE,NI,6,136,104.157,0.351
117,CELLULOSE,NI,6,136,95.311,0.318
133,OXALATE,NI,6,136,122.551,14.084
134,OXALATE,NI,6,136,128.291,13.637
135,OXALATE,NI,6,136,126.5,12.748
142,PHENOL,NI,6,136,117.397,3.786
143,PHENOL,NI,6,136,110.61,3.647
144,PHENOL,NI,6,136,88.871,3.093
151,CELLULOSE,NR,6,136,152.535,0.619
152,CELLULOSE,NR,6,136,145.295,0.586
153,CELLULOSE,NR,6,136,141.399,0.501
169,OXALATE,NR,6,136,173.307,13.951
170,OXALATE,NR,6,136,197.519,14.654
171,OXALATE,NR,6,136,184.34,13.839
178,PHENOL,NR,6,136,150.393,3.183
179,PHENOL,NR,6,136,149.689,3.116
180,PHENOL,NR,6,136,143.343,3.002
7,CELLULOSE,CTL,7,159,161.6014129,0.545748906
8,CELLULOSE,CTL,7,159,185.6619936,0.540407298
9,CELLULOSE,CTL,7,159,158.9389298,0.413681604
25,OXALATE,CTL,7,159,186.2978278,14.79101619
26,OXALATE,CTL,7,159,189.0965128,12.21067149
27,OXALATE,CTL,7,159,187.677656,11.26893145
34,PHENOL,CTL,7,159,182.4144546,3.068908507
35,PHENOL,CTL,7,159,165.3845922,3.138897527
36,PHENOL,CTL,7,159,198.880848,3.320079147
43,CELLULOSE,DW,7,159,235.2905553,0.431802109
44,CELLULOSE,DW,7,159,207.3598993,0.537190608
45,CELLULOSE,DW,7,159,245.3905266,0.396892853
61,OXALATE,DW,7,159,260.8345503,14.06796814
62,OXALATE,DW,7,159,282.8245971,15.23268472
63,OXALATE,DW,7,159,280.5881322,13.09518368
70,PHENOL,DW,7,159,256.7656062,5.605204665
71,PHENOL,DW,7,159,279.8159404,5.338776365
72,PHENOL,DW,7,159,269.5088254,5.311534819
79,CELLULOSE,DL,7,159,,
80,CELLULOSE,DL,7,159,190.2316067,0.444701534
81,CELLULOSE,DL,7,159,209.2288421,0.530728562
97,OXALATE,DL,7,159,221.5911877,12.74313131
98,OXALATE,DL,7,159,,
99,OXALATE,DL,7,159,235.730723,11.78218475
106,PHENOL,DL,7,159,237.075759,3.66834756
107,PHENOL,DL,7,159,212.4289716,3.340036738
108,PHENOL,DL,7,159,239.1021569,3.588088044
115,CELLULOSE,NI,7,159,128.3744946,0.500091546
116,CELLULOSE,NI,7,159,120.0490941,0.519148244
117,CELLULOSE,NI,7,159,109.9903797,0.467029979
133,OXALATE,NI,7,159,139.6060945,14.25275877
134,OXALATE,NI,7,159,141.6826628,13.68045696
135,OXALATE,NI,7,159,132.4600591,12.6641472
142,PHENOL,NI,7,159,135.5658026,3.930912201
