,DNP,Plot,Treatment,Trt,Rep,ToLine,ToSoil,Depth,CoreHt,Enotes,Flag,BagSampWt,RockWt,TinWt,WetSampTinWt,TotWetSampWt,Snotes,DryTinWt,TNotes,CNWeight,C,N,S,CN,WoodWt,WoodVol,WoodVolEst
12,12,16,Double Wood,DW,A,6.8,7.1,5,2.5,,,49.37,3.17,1.13,9.11,40.7,,8.84,,84.646,3.99,0.2,0.067,20,0.63,1.6,2
13,13,16,Double Wood,DW,A,6.8,7.1,2.5,2.5,,,43.85,5.98,1.13,11.9,35,,11.48,,83.851,5.08,0.23,0.072,22.1,0,0,0
14,14,16,Double Wood,DW,A,6.8,7.1,0,2.5,,,56.48,15.77,1.15,9.65,47.67,,9.29,,83.288,10.16,0.37,0.078,27.5,0,0,0
15,15,2,Double Litter,DL,B,6.7,6.8,10,4.92,,,114.64,0,1,13.27,106.16,,12.49,,82.045,2.84,0.18,0.045,15.8,0,0,0
16,16,2,Double Litter,DL,B,6.7,6.8,7.5,2.5,,,54.2,2.68,1.12,11.98,45.65,,11.69,,92.471,2.9,0.18,0.041,16.1,0,0,0
17,17,2,Double Litter,DL,B,6.7,6.8,5,2.57,,,53.65,2.71,1.15,10.82,44.85,,10.54,,93.852,3.47,0.19,0.042,18.3,0,0,0
18,18,2,Double Litter,DL,B,6.7,6.8,2.5,2.51,,,43.09,0,1.62,10.48,33.03,,10.19,,97.687,4.15,0.25,0.086,16.6,0.53,1.5,4
19,19,2,Double Litter,DL,B,6.7,6.8,0,2.4,,,64.72,1.7,1.6,10.72,55.81,,9.84,,87.03,8.01,0.33,0.982,24.3,0,0,0
20,20,15,No OA,NOA,A,6.7,8.4,10,5.1,Big chunk of wood in core,X,124.22,31.89,1.16,10.02,115.39,,9.48,,87.615,1.42,0.09,0.047,15.8,12.95,14,22
21,21,15,No OA,NOA,A,6.7,8.4,7.5,2.25,,,46,7.2,1.14,12.45,37.48,,12.15,,86.932,1.78,0.1,0.039,17.8,0,0,0
22,22,15,No OA,NOA,A,6.7,8.4,5,2.75,"Spilled, weight NOT accurate",X,58.47,10.26,1.62,10.89,49.67,,10.46,,97.727,1.84,0.1,0.039,18.4,0,0,0
23,23,15,No OA,NOA,A,6.7,8.4,0,5.001,,,94.8,11.63,1.45,13.45,85.95,,12.33,,97.682,2.39,0.12,0.05,19.9,0,0,0
24,24,2,Double Litter,DL,C,6.9,6.9,10,4.97,,,117.49,1.76,1.4,13.03,108.33,,10.76,,86.992,2.66,0.16,1.744,16.6,0.36,1,3
25,25,2,Double Litter,DL,C,6.9,6.9,7.5,2.24,,,48.04,0,0.96,10.6,39.37,,9.88,,97.504,3.91,0.19,0.059,20.6,0.8,2,5.5
26,26,2,Double Litter,DL,C,6.9,6.9,5,2.7,,,54.87,0,0.98,11.47,46.21,,10.64,,81.974,3.65,0.19,0.062,19.2,0.34,1.5,2.5
27,27,2,Double Litter,DL,C,6.9,6.9,2.5,2.25,,,47.61,0,1.45,10,38.95,,9.59,,96.322,4.22,0.19,0.061,22.2,0,0,0
28,28,2,Double Litter,DL,C,6.9,6.9,0,2.7,,,89.32,2.19,1.12,10.52,80.57,,9.46,,89.153,4.95,0.22,0.049,22.5,0,0,0
29,29,19,No Input,NI,C,6.6,6.15,10,4.85,"Spilled, weight NOT accurate, surface of core was decaying burnt log",X,117.85,2.63,1.61,10.196,109.12,,9.45,,91.433,2.64,0.17,0.04,15.5,0,0,0
30,30,19,No Input,NI,C,6.6,6.15,7.5,2.52,Surface of core was decaying burnt log,X,58.38,0,1,12.18,49.45,,11.45,,85.665,3.38,0.18,0.043,18.8,0,0,0
31,31,19,No Input,NI,C,6.6,6.15,5,2.4,Surface of core was decaying burnt log,X,51.68,0,1.39,11.35,42.84,,10.76,,92.694,4.25,0.19,0.038,22.4,0,0,0
32,32,19,No Input,NI,C,6.6,6.15,2.5,2.75,Surface of core was decaying burnt log,X,47.03,0,1.14,9.71,38.28,,9.28,,92.57,6.77,0.25,0.059,27.1,0,0,0
33,33,19,No Input,NI,C,6.6,6.15,0,2.6,Surface of core was decaying burnt log,X,45.49,0,0.96,9.6,36.62,,7.08,,89.841,31.78,0.57,0.078,55.8,0,0,0
34,34,15,No OA,NOA,C,6.7,7.1,10,5.1,Wonky extraction,X,115.8,8.12,1,12.11,107.07,,10.95,,94.698,1.18,0.08,0.042,14.8,0.22,0.9,1.5
