"","DNPF","Plot","Treatment","TRT","Depth","bulk_percC","bulk_percN","LF_wt","LF_percC","LF_percN","IF_wt","IF_percC","IF_percN","HF_wt","HF_percC","HF_percN"
"79",79,16,"Double Wood","DW","40-60",2.03,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,17,"Double Litter","DL","40-60",1,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,18,"No OA","NOA","40-60",0.98,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,19,"No Input","NI","40-60",0.82,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,49,"No Input","NI","40-60",0.6,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,69,"No Input","NI","40-60",0.73,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,1,"No Root","NR","60-100",0.58,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,2,"Double Litter","DL","60-100",1.01,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,3,"No Litter","NL","60-100",0.44,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,4,"No Root","NR","60-100",0.41,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,5,"Double Wood","DW","60-100",0.47,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,6,"No Root","NR","60-100",0.4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,7,"No Litter","NL","60-100",0.32,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,8,"Control","CTL","60-100",0.56,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,9,"No OA","NOA","60-100",0.66,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,10,"Double Wood","DW","60-100",0.77,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,11,"No Litter","NL","60-100",0.72,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,12,"Control","CTL","60-100",0.8,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,13,"Double Litter","DL","60-100",0.5,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,14,"Control","CTL","60-100",0.53,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,15,"No OA","NOA","60-100",0.36,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,16,"Double Wood","DW","60-100",1.25,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,17,"Double Litter","DL","60-100",0.92,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,18,"No OA","NOA","60-100",0.65,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,19,"No Input","NI","60-100",0.62,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,49,"No Input","NI","60-100",0.34,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,69,"No Input","NI","60-100",0.28,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
