,ï..Year,TX_Year,Plot,Treatment,Trt,Type,Depth,percC,percN,CtoN,X
52,2012,15,3,No Litter,NL,RMV,10-20cm,4.11,0.168,24.4,NA
53,2012,15,7,No Litter,NL,RMV,10-20cm,2.86,0.132,21.7,NA
54,2012,15,11,No Litter,NL,RMV,10-20cm,3.41,0.158,21.6,NA
63,2017,20,3,No Litter,NL,RMV,0-10cm,5.73,0.209,27.4,NA
67,2017,20,7,No Litter,NL,RMV,0-10cm,4.12,0.184,22.4,NA
71,2017,20,11,No Litter,NL,RMV,0-10cm,4.31,0.182,23.7,NA
84,2017,20,3,No Litter,NL,RMV,10-20cm,2.56,0.132,19.4,NA
88,2017,20,7,No Litter,NL,RMV,10-20cm,1.87,0.111,16.8,NA
92,2017,20,11,No Litter,NL,RMV,10-20cm,2.75,0.132,20.8,NA
117,2017,20,3,No Litter,NL,RMV,20-40cm,2.25,0.123,18.3,NA
119,2017,20,7,No Litter,NL,RMV,20-40cm,1.41,0.099,14.2,NA
123,2017,20,11,No Litter,NL,RMV,20-40cm,1.75,0.106,16.5,NA
126,2017,20,3,No Litter,NL,RMV,40-60cm,1.72,0.105,16.4,NA
130,2017,20,7,No Litter,NL,RMV,40-60cm,0.71,0.046,15.4,NA
134,2017,20,11,No Litter,NL,RMV,40-60cm,1.02,0.065,15.7,NA
147,2017,20,3,No Litter,NL,RMV,60-100cm,0.44,0.03,14.7,NA
151,2017,20,7,No Litter,NL,RMV,60-100cm,0.32,0.028,11.4,NA
155,2017,20,11,No Litter,NL,RMV,60-100cm,0.72,0.043,16.7,NA
34,2012,15,9,No O-A horizons,NOA,NOA,0-10cm,1.86,0.058,31.8,NA
35,2012,15,15,No O-A horizons,NOA,NOA,0-10cm,2.04,0.052,39,NA
36,2012,15,18,No O-A horizons,NOA,NOA,0-10cm,2.41,0.093,26,NA
55,2012,15,9,No O-A horizons,NOA,NOA,10-20cm,1.86,0.07,26.7,NA
56,2012,15,15,No O-A horizons,NOA,NOA,10-20cm,2.1,0.077,27.4,NA
57,2012,15,18,No O-A horizons,NOA,NOA,10-20cm,2.39,0.108,22.1,NA
69,2017,20,9,No OA,NOA,NOA,0-10cm,1.37,0.073,18.8,NA
75,2017,20,15,No OA,NOA,NOA,0-10cm,2.78,0.121,23,NA
78,2017,20,18,No OA,NOA,NOA,0-10cm,2.68,0.139,19.3,NA
